id,hedef,sira,enlem,boylam
349,ALA,28,44.066163,72.422923
350,ALA,29,43.848856,73.974200
351,ALA,30,43.610723,75.513679
352,ALA,31,43.352100,77.040497
353,ALG,0,41.275278,28.751944
354,ALG,1,41.218700,27.884540
355,ALG,2,41.155625,27.018721
356,ALG,3,41.086080,26.154652
357,ALG,4,41.010094,25.292495
358,ALG,5,40.927700,24.432407
359,ALG,6,40.838931,23.574544
360,ALG,7,40.743826,22.719058
361,ALG,8,40.642422,21.866095
362,ALG,9,40.534763,21.015800
363,ALG,10,40.420890,20.168311
364,ALG,11,40.300851,19.323764
365,ALG,12,40.174694,18.482289
366,ALG,13,40.042468,17.644012
367,ALG,14,39.904225,16.809053
368,ALG,15,39.760018,15.977529
369,ALG,16,39.609903,15.149551
370,ALG,17,39.453938,14.325226
371,ALG,18,39.292179,13.504654
372,ALG,19,39.124688,12.687931
373,ALG,20,38.951525,11.875148
374,ALG,21,38.772753,11.066391
375,ALG,22,38.588435,10.261740
376,ALG,23,38.398637,9.461271
377,ALG,24,38.203423,8.665053
378,ALG,25,38.002861,7.873152
379,ALG,26,37.797019,7.085627
380,ALG,27,37.585963,6.302535
381,ALG,28,37.369764,5.523924
382,ALG,29,37.148491,4.749840
383,ALG,30,36.922213,3.980323
384,ALG,31,36.691002,3.215410
385,AMM,0,41.275278,28.751944
386,AMM,1,40.974621,29.016083
387,AMM,2,40.673366,29.277822
388,AMM,3,40.371525,29.537205
389,AMM,4,40.069111,29.794272
390,AMM,5,39.766133,30.049065
391,AMM,6,39.462603,30.301623
392,AMM,7,39.158531,30.551986
393,AMM,8,38.853928,30.800192
394,AMM,9,38.548805,31.046279
395,AMM,10,38.243171,31.290285
396,AMM,11,37.937035,31.532247
397,AMM,12,37.630409,31.772199
398,AMM,13,37.323300,32.010178
399,AMM,14,37.015719,32.246218
400,AMM,15,36.707674,32.480354
401,AMM,16,36.399175,32.712618
402,AMM,17,36.090229,32.943045
403,AMM,18,35.780845,33.171666
404,AMM,19,35.471032,33.398513
405,AMM,20,35.160798,33.623618
406,AMM,21,34.850151,33.847011
407,AMM,22,34.539098,34.068723
408,AMM,23,34.227648,34.288783
409,AMM,24,33.915807,34.507220
410,AMM,25,33.603584,34.724063
411,AMM,26,33.290985,34.939341
412,AMM,27,32.978018,35.153080
413,AMM,28,32.664689,35.365309
414,AMM,29,32.351005,35.576054
415,AMM,30,32.036974,35.785342
416,AMM,31,31.722601,35.993198
417,AMS,0,41.275278,28.751944
418,AMS,1,41.699984,28.124422
419,AMS,2,42.121232,27.488590
420,AMS,3,42.538922,26.844283
421,AMS,4,42.952955,26.191337
422,AMS,5,43.363227,25.529586
423,AMS,6,43.769631,24.858867
424,AMS,7,44.172060,24.179016
425,AMS,8,44.570402,23.489871
426,AMS,9,44.964543,22.791271
427,AMS,10,45.354366,22.083059
428,AMS,11,45.739752,21.365079
429,AMS,12,46.120579,20.637178
430,AMS,13,46.496721,19.899208
431,AMS,14,46.868052,19.151023
432,AMS,15,47.234440,18.392485
433,AMS,16,47.595754,17.623459
434,AMS,17,47.951856,16.843816
435,AMS,18,48.302609,16.053435
436,AMS,19,48.647872,15.252204
437,AMS,20,48.987502,14.440016
438,AMS,21,49.321353,13.616777
439,AMS,22,49.649278,12.782399
440,AMS,23,49.971127,11.936810
